Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_002738505.1,Aquilegia_coerulea_v1,Aquilegia coerulea,218851,,,Goldsmith,,,,Annotation submitted by JGI-PGF,301979693,,Scaffold,10/31/17,NXFA01,970
GCA_012274485.2,S.alba_v1,Sinapis alba,3728,,S2 GC0560-79,,,,,Annotation submitted by DOE Joint Genome Institute,449668332,,Scaffold,10/5/20,WIDR02,12410
GCA_001974805.1,CCACVL1_1.0,Corchorus capsularis,210143,,,CVL-1,,,,"Annotation submitted by Basic & Applied Research on Jute Project, Bangladesh Jute Research Institute",317178409,,Scaffold,1/30/17,AWWV01,16522
GCA_023374145.1,ASM2337414v1,Lepidium sativum,33125,,,,,ATU-22,,,336483946,,Contig,5/16/22,JAKUCM01,
GCA_014362285.1,Fagus_crenata_1.0,Fagus crenata,28929,,,,,MieU_EA384,,,799350261,,Scaffold,8/19/20,BKZX01,52213
GCA_002079205.1,ASM207920v1,Phalaenopsis hybrid cultivar,200642,,,KHM190,,,,,2687664729,,Scaffold,4/4/17,JXCR01,149149
GCA_001598015.1,Boea_hygrometrica.v1,Dorcoceras hygrometricum,472368,,,XS01,,,,Annotation submitted by BGI-Shenzhen,1521360707,,Scaffold,4/28/16,LVEL01,401752
GCA_000411095.1,VEGI_AA_v_1.0,Aethionema arabicum,228871,,,,,,,,192487774,,Scaffold,6/14/13,ASZG01,18312
GCA_037177215.1,ASM3717721v1,Asparagus racemosus,272846,,,,,OWAJ3TGX38,,,555219083,,Scaffold,3/15/24,JBAKGM01,84170
GCA_036897335.1,ASM3689733v1,Silene vulgaris,42043,,,,,svu-001,,,370039588,,Contig,2/28/24,JAYMSF01,
GCA_003724115.2,FoenVul1.1,Anethum foeniculum,2849586,,,OL2,,,,,1010971190,,Scaffold,11/13/18,PHNY01,300377
GCA_032191725.1,ASM3219172v1,Narcissus pseudonarcissus,39639,,,,,IRGN NWP2P2AW4G,,,1153358698,,Scaffold,9/29/23,JAVXUK01,3138040
GCA_000180655.1,ASM18065v1,Amaranthus tuberculatus,277990,,,,,,,,4347977,,Contig,6/22/09,ACQK01,
GCA_029990575.1,ASM2999057v1,Petunia axillaris subsp. axillaris,55889,,,P,,PaxPHifi2020,,,1309025014,,Contig,5/12/23,JARKNS01,
GCA_019915185.1,ASM1991518v1,Eucalyptus camaldulensis,34316,,,,,KAUST-2020a,,,528226388,,Contig,9/9/21,JAHSVA01,
GCA_029955605.1,dhQueEnge1.0.hap1,Quercus engelmannii,97696,,,,,Qeng-S-SD-9,,,845984528,,Scaffold,5/8/23,JARPSG01,743
GCA_029618585.1,ASM2961858v1,Citrus australasica,416196,,,,,CRC3672,,,336723843,,Scaffold,4/7/23,JARCIV01,270
GCA_040207155.1,daEryLaci1.0.pri,Erythranthe laciniata,4156,,,,Olmstead Point,CCGP_10_BB_OPN_1,,,309816178,,Scaffold,6/17/24,JBCDMK01,103
GCA_028583015.1,Wnob1.0,Wollemia nobilis,56998,,,,,692/2013*A,,,11594437506,,Contig,2/10/23,JAQPPZ01,
GCA_036785695.1,ASM3678569v1,Gentiana straminea,50768,,,,,2022XZ01,,,1288984070,,Contig,2/22/24,JAVUPR01,
GCA_029007595.1,CGN18024_1v5_2,Solanum commersonii,4109,,,,,CGN18024_1,,,740834695,,Scaffold,3/6/23,JAJTWQ01,639
GCA_026261945.1,ASM2626194v1,Hirschfeldia incana,71354,,,,,HINC_NIJ6,,Annotation submitted by Wageningen University & Research,398498366,,Scaffold,11/23/22,JABCMI01,384
GCA_040086895.1,UAZ_Capgrnd_2,Capsella grandiflora,264402,,,,,83.17,,,145075854,,Contig,6/6/24,JAUEPQ01,
GCA_038502445.1,ASM3850244v1,Eremochloa ophiuroides,866555,,,,,E039,,,853471760,,Scaffold,4/26/24,JAHLJS01,322
GCA_904845875.1,Mlu_assembly,Miscanthus lutarioriparius,422564,,,,,,,Annotation submitted by NCGR,2074797027,,Scaffold,10/12/20,CAJGYO01,919
GCA_019955255.1,CAUS_2016PP,Castanospermum australe,24962,,,,,CA-2011,,,381717924,,Scaffold,9/13/21,NSJW01,1027
GCA_034641835.2,WBP_1.0,Pinus albicaulis,71622,,,,,WBP_0.9,,,27611538162,16,Scaffold,4/30/24,JAXQQM02,34178
GCA_019973895.1,CsGojo-0_v1,Chrysanthemum seticuspe,1111766,,Gojo-0,,,,,,3045425808,,Scaffold,8/31/21,BPTQ01,8495
GCA_026122585.1,DCI_ANoc_v1,Anacardium occidentale,171929,,,Bhaskara,,,,,356592713,,Scaffold,11/10/22,JAJEJH01,3268
GCA_026898435.1,MSU_Prunella_vulgaris_1.0,Prunella vulgaris,39358,,,,,AEB_2022c,,,684418865,,Scaffold,12/14/22,JAPKLY01,8481
GCA_026898455.1,MSU_Plectranthus_barbatus_1.0,Plectranthus barbatus,41228,,,,,AEB_2022a,,,1049386795,,Scaffold,12/14/22,JAPKLW01,12729
GCA_008326845.1,VSMuph_r1.0,Vitis x labruscana x Vitis vinifera,2599122,,,Shine Muscat,,,,,490143216,,Scaffold,8/21/19,BKBX01,8696
GCA_900406465.1,ASM90040646v1,Noccaea caerulescens,107243,,,,,,,,140791915,,Scaffold,6/14/19,OVBC01,19808
GCA_018584345.1,redcedar-v3,Thuja plicata,3316,,,,,2323-211-S5,,,9095911847,,Scaffold,5/27/21,JAGRRI01,67899
GCA_029295335.1,ASM2929533v1,Vitis sp.,3604,,,,,CTeuk-1509,,,84026209,,Scaffold,3/20/23,DAGWXC01,6171
GCA_000441515.1,EO8,Elaeis oleifera,80265,,,,,,,,1402725009,,Scaffold,7/26/13,ASIR01,26756
GCA_038996855.1,ASM3899685v1,Solanum aculeatissimum,267265,,,,,R9CIVZPSOF,,,1021282026,,Scaffold,5/1/24,JBCEWC01,896446
GCA_027790015.1,ASM2779001v1,Cymbopogon flexuosus,79835,,,,,SLK_2022,,,545468938,,Contig,1/9/23,JAKNSH01,
GCA_004012085.1,ASM401208v1,Eugenia uniflora,119951,,,,Pampa,,,,3152134,,Contig,1/11/19,RQIG01,
GCA_028659135.1,PL_genome_S119,Plantago lanceolata,39414,,,,,S119,,,1199695342,,Scaffold,2/16/23,JAQRGC01,2318676
GCA_005406145.1,CYE_r3.1,Prunus yedoensis,3759,,,Somei-yoshino,,,,,690105700,,Contig,3/18/19,BJCG01,
GCA_029168935.1,ASM2916893v1,Oxyria digyna,284366,,,,,JK-2021,,,561227150,,Contig,3/13/23,JAPVLV01,
GCA_030819835.1,drAcmStri1.0.hap2,Acmispon strigosus,1240363,,,,,AcS079-WTH_u01.g3.r02.01,,,510350846,,Scaffold,8/18/23,JAUAMA01,599
GCA_024362995.1,drHetArbu1.0.p,Heteromeles arbutifolia,36612,,,,,HeAr 88,hermaphrodite,,634379610,,Scaffold,7/21/22,JANCRC01,117
GCA_036924285.1,cmAstCali1,Asterella californica,122619,,,,,IGR150-G1,,,516970383,,Contig,2/29/24,JAYKYS01,
GCA_024362665.1,NICEM_padus_1,Prunus padus,97307,,,,,CHK-2022,,,488920495,,Contig,7/21/22,JANFAM01,
GCA_037127255.1,ASM3712725v1,Persicaria tinctoria,96455,,,,,pti1,,,1684423465,,Scaffold,3/13/24,JBANSL01,252
GCA_036023115.1,ASM3602311v1,Brasenia schreberi,4424,,,,China,Chuncai20230925,,,1055148839,,Contig,1/25/24,JAYKKT01,
GCA_030449875.1,ASM3044987v1,Aegle marmelos,68527,,,Aeg,,,,,275993979,,Contig,7/13/23,JASUUL01,
GCA_023212625.1,ASM2321262v1,Styphnolobium japonicum,3897,,,,,WL_2022a,,,511488806,,Scaffold,5/2/22,JALBWW01,99
GCA_030760725.1,lpNeoColu1.0.hap1,Neostapfia colusana,160571,,,,,DT0270,,,2135834059,,Scaffold,8/16/23,JASWHV01,746
GCA_036321105.1,ASM3632110v1,Dracaena cambodiana,580341,,,,china,jpzlxs,,,1015265232,,Scaffold,1/31/24,JAYEPQ01,20
GCA_026122235.1,UniT_Vmin_1.1,Vinca minor,60093,,,,,Vmin_N,,,679097104,,Contig,11/10/22,JAOCZM01,
GCA_030448935.1,ASM3044893v1,Citrus cavaleriei,2709,,,ZGYCC,,,,,364517697,,Contig,7/13/23,JAUJEM01,
GCA_900174645.1,Sal_scaffold_v2,Sonneratia alba,122812,,,,,,,,207167948,,Scaffold,2/19/20,FWPY01,108
GCA_036927565.1,lpTucGree1.0.hap1,Tuctoria greenei,160569,,,,,TUGR.3,,,2595786553,,Scaffold,2/29/24,JAYESD01,598
GCA_014180765.2,ASM1418076v2,Marchantia paleacea,56867,,,,,Mexico,,Annotation submitted by John Innes Centre,250803610,,Contig,5/25/21,MUAA02,
GCA_004802465.1,ASM480246v1,Citrus hindsii,159041,,,Hongkong kumquat,,,,,373170204,,Contig,4/22/19,QWBT01,
GCA_003013855.2,NJFU_Lchi_2.0,Liriodendron chinense,3414,,,,,Lushan-1,,,1742421816,,Scaffold,10/23/18,PVNU02,3710
GCA_019926035.1,SCU_Malt_1,Melaleuca alternifolia,164405,,,,,SCU01,,,362036213,,Scaffold,9/10/21,JAGKPW01,3128
GCA_036927795.1,lsIriMacr1.0.hap1,Iris macrosiphon,42569,,,,,US21-01,,,4329924449,,Scaffold,2/29/24,JAYESA01,2775
GCA_023529315.1,Yrk_Pbra_ont_1,Papaver bracteatum,215227,,,,,S-191377,,Annotation submitted by University of York,2150148553,,Scaffold,5/23/22,JAJJWX01,5423
GCA_030449075.1,ASM3044907v1,Murraya paniculata,43711,,,JLX,,,,,217784944,,Scaffold,7/13/23,JAEVFN01,260
GCA_017589505.3,Sago_v3,Metroxylon sagu,93297,,,,KOTA SAMARAHAN,SAGO2022,,,472412277,,Scaffold,3/6/23,JACVBY03,667
GCA_027705065.1,ASM2770506v1,Solanum peruvianum,4082,,,ZY61,,,,,867470226,,Scaffold,1/11/23,JAKWJD01,1766
GCA_011037825.1,ASM1103782v1,Carya cathayensis,139927,,,Cca,,,,,706397096,,Scaffold,2/27/20,QGSO01,40297
GCF_004799145.2,ASM479914v2,Prosopis alba,207710,,,,,B1F8T4,,NCBI Prosopis alba Annotation Release 100,707081395,,Contig,4/17/19,SMJV01,
GCA_038442645.1,ASM3844264v1,Agave tequilana,386106,,,,,VQKR5QFE9S,,,4311101356,,Contig,4/24/24,JAVJIF01,
GCA_002896235.1,Besev079_v0.3,Cicer reticulatum,90898,,,Besev_079,,,,,715406915,,Contig,1/23/18,PGWS01,
GCA_963454935.2,ILEXP v3,Ilex paraguariensis,185542,,,,,,,Annotation submitted by UNIVERSIDAD DE BUENOS AIRES,1064802823,,Scaffold,3/4/24,CAUOFW02,10611
GCA_001752375.1,RHA1.0,Rhazya stricta,396313,,,,,JS2016,,,274354041,,Scaffold,10/4/16,MEJB01,979
GCA_001925005.1,ASM192500v1,Drosera capensis,4366,,,wide leaf,,,,,263787800,,Scaffold,12/30/16,LIEC01,12713
GCA_006547085.1,Malus_baccata_v1.0,Malus baccata,106549,,,Shandingzi,,,,Annotation submitted by Northwest A&F University,674411566,,Scaffold,7/3/19,VIEB01,47473
GCA_003123805.1,ASM312380v1,Juglans sigillata,224355,,,,,DJUG951.04,,,648117419,,Scaffold,5/14/18,QEOY01,134300
GCA_008636005.1,SGA_v2.0,Striga asiatica,4170,,UVA1,,,,,"Annotation submitted by Graduate School of Biological Science, Nara Institute of Science and Technology",471563096,,Scaffold,9/20/19,BKCP01,13846
GCA_002312845.1,K_fedtschenkoi_M2_v1,Kalanchoe fedtschenkoi,63787,,,M2,,,,,256351415,,Scaffold,9/19/17,NQLW01,1324
GCA_001649415.1,ASM164941v1,Musa itinerans,574487,,,,,HN9,,,455349267,,Scaffold,5/21/16,LVTN01,28415
GCF_000393655.1,Nsyl,Nicotiana sylvestris,4096,,,,,,,NCBI Nicotiana sylvestris Annotation Release 100,2221831232,,Scaffold,5/16/13,ASAF01,253917
GCA_001602295.1,ASM160229v1,Zoysia matrella,38722,,,Wakaba,,,,,563438595,,Scaffold,3/15/16,BCLG01,13609
GCA_030439765.1,ASM3043976v1,Tripidium arundinaceum,50346,,,1679-33,China,,,,70889646,,Contig,7/12/23,JAHUYU01,
GCA_002564525.1,RMU_r2.0,Rosa multiflora,74647,,,,,,,,739637845,,Scaffold,10/13/17,BDJD01,83189
GCA_037177235.1,ASM3717723v1,Aquilaria malaccensis,223753,,,,,6XJGZUKB9R,,,584635500,,Scaffold,3/15/24,JBBCBB01,91180
GCA_005239535.1,ASM523953v1,Nicotiana rustica,4093,,,,,,,,4231287016,,Scaffold,5/2/19,MDKG01,337581
GCA_035584095.1,ASM3558409v1,Annona squamosa,301693,,,,,IRGN FHL2023008,,,587834095,,Scaffold,1/11/24,JAXCLR01,64832
GCA_018107945.1,UCR_Dstr_1.4,Datura stramonium,4076,,,,,AR-01,,"Annotation submitted by University of California, Riverside",2110457301,,Scaffold,4/20/21,JACEIK01,232580
GCA_009835305.1,UM_IpPur_1.0,Ipomoea purpurea,4121,,,,,Rausher_C,,,194325437,,Scaffold,1/9/20,VALG01,17867
GCA_030144865.1,CFGB_Tcard_1.0,Tinospora cordifolia,285590,,,,,PN-2021,,,880719563,,Scaffold,6/1/23,JAJIYU01,275761
GCA_902706635.1,SHERM,Striga hermonthica,68872,,,,,,,Annotation submitted by UNIVERSITY OF SHEFFIELD,962481565,,Scaffold,6/10/22,CACSLK01,35056
GCA_032191745.1,Pmariana_40-10-1_v1,Picea mariana,3335,,,,,40-10-1,,,19729999460,,Scaffold,9/29/23,JASDQU01,1560005
GCA_031762675.1,ASM3176267v1,Pachysandra terminalis,74825,,,,,IRGN RHVPXEF21G,,,1195152964,,Scaffold,9/20/23,JAUPMG01,311017
GCA_009849755.1,ASM984975v1,Solanum phureja,172790,,,,,,,,873028468,,Contig,1/10/20,WBHY01,
GCA_014822125.1,UAlgCV_Aunedo_01,Arbutus unedo,84005,,,,,Golias,,,452681481,,Scaffold,9/30/20,JABCMJ01,140035
GCA_028571085.2,ASM2857108v2,Nepenthes alata,4376,,,,,IRGN QT5VJDAN5T,,,948146422,,Scaffold,9/20/23,JAOVVI02,170420
GCA_037833815.1,ASM3783381v1,Zingiber zerumbet,311405,,,,,VDBEX16663,,,1369895222,,Scaffold,3/29/24,JBBMJZ01,413117
GCA_036873715.1,ASM3687371v1,Salvia sclarea,38869,,,,,PM26S2GP26,,,343592154,,Scaffold,2/26/24,JAYJMF01,403223
GCA_037834125.1,ASM3783412v1,Lippia alba,320345,,,,,7JQ3GJNI7X,,,689054691,,Scaffold,3/29/24,JBBMKE01,449796
GCA_028566335.1,ASM2856633v1,Monarda citriodora,182379,,,,,DE0X6BR1WV,,,390524461,,Scaffold,2/9/23,JAOWBJ01,181631
GCA_036897525.1,ASM3689752v1,Pelargonium x hortorum,4031,,,,,pxh-001,,,324778900,,Contig,2/28/24,JAYMTJ01,
GCA_035668155.1,ASM3566815v1,Sarracenia purpurea,45176,,,,,IRGN FSE7R8G81D,,,764972960,,Scaffold,1/16/24,JAULLE01,539434
GCA_002878655.1,ASM287865v1,Cissus quadrangularis,165298,,,Variant I - TUH No. 189,,,,,281703610,,Scaffold,1/12/18,LLYR01,125206
GCA_030819805.1,daPenNewb1.0.hap2,Penstemon newberryi var. newberryi,230067,,,,,,hermaphrodite,,412703776,,Scaffold,8/18/23,JAUALY01,452
GCA_932364175.1,Eruca_sativa,Eruca vesicaria subsp. sativa,29727,,,,,,,Annotation submitted by York,842592905,,Scaffold,8/26/22,CAKOAT01,1000000
GCA_947683365.1,Ep-USBG2016-0302-DRAFT-NextGenCassava-1.0,Euphorbia pulcherrima,37495,,,,,,,,778653895,,Contig,4/9/23,CANTUS01,
GCA_033996785.1,ASM3399678v1,Trichosanthes truncata,685060,,,Wild variety,,HY-2023,,,637410204,,Scaffold,11/30/23,JAWPNB01,11
GCA_033239125.1,ASM3323912v1,Fagopyrum homotropicum,85475,,,C9255,,,,,1245122665,,Scaffold,6/25/23,BSWB01,436
GCF_030987335.1,ASM3098733v1,Cornus florida,4283,,,Cherokee Brave,,,,GCF_030987335.1-RS_2023_09,1253041134,,Scaffold,8/30/23,JAUGWY01,363
GCA_033239725.1,ASM3323972v1,Echinochloa phyllopogon,45619,,,,,R511,,,1002677761,,Scaffold,6/15/23,BTCW01,819
GCA_030544215.1,ASM3054421v1,Zantedeschia hybrid cultivar,278654,,,Jingcaiyangguang,,,,,1154507455,,Scaffold,7/26/23,JARZZO01,308
GCA_030270665.1,Htrionum_1.0,Hibiscus trionum,183268,,Htri001sk,,,,,"Annotation submitted by Biological Networks Laboratory, National Institute of Genetics",1671232404,,Contig,5/27/23,BSYR01,
GCA_030820535.1,dhQueParv1.0.hap1,Quercus parvula,2004446,,,,var. parvula,,,,739973653,,Scaffold,8/18/23,JAUAME01,240
GCA_034814905.1,PDav_Duke_2022_v1.1,Penstemon davidsonii,160366,,,,,DNT005,,Annotation submitted by Duke University,437568744,,Scaffold,12/29/23,JAYDYQ01,2688
GCA_023349395.1,dhJugCali1.0.p,Juglans californica,91212,,,,,Jcal.S.LA.6,,,551065703,,Scaffold,5/12/22,JAKSXK01,137
GCA_029990175.1,Psec_v2_Bern,Petunia secreta,323111,,,,,Stehmann & Semir,,,1440196919,,Contig,5/12/23,JARKIP01,
GCA_028535905.1,dhQueBerb1.0.hap2,Quercus berberidifolia,1266315,,,,,Qber.S.LA.60,,,828113576,,Scaffold,2/7/23,JAPQVW01,807
GCA_028535165.1,dhQueTome1.0.hap2,Quercus tomentella,60424,,,,,RSA801373,,,774886980,,Scaffold,2/7/23,JAPQVY01,156
GCA_023055425.1,ddLinParr1.0.p,Linanthus parryae,64432,,,,"Phelan, CA",IGA184,,,1514492808,,Scaffold,4/19/22,JALGPY01,123
GCA_030761205.1,ddFreCali1.0.hap2,Fremontodendron californicum,93767,,,,,D. Potter 1011,,,1222450398,,Scaffold,8/16/23,JAULJL01,202
GCA_030449835.1,ASM3044983v1,Clausena lansium,159037,,,HP,,,,,313212262,,Contig,7/13/23,JASUUF01,
GCA_029955375.1,drRubParv1.0.hap2,Rubus parviflorus,59496,,,,,,hermaphrodite,,256958080,,Scaffold,5/8/23,JARGGL01,149
GCA_029959085.1,daNemMenz1.0.hap1,Nemophila menziesii,79376,,,,,BB_90_C5_P1,,,1522290472,,Scaffold,5/9/23,JARWIR01,474
GCA_030512225.1,ASM3051222v1,Rauvolfia tetraphylla,545371,,,,,EAS_2021,,,364945498,,Contig,7/20/23,JAJQKT01,
GCA_019985065.2,ddArcGlau1.1p,Arctostaphylos glauca,89197,,,,,GLNDR_RDG_Rd-6,,,547547283,,Scaffold,2/20/22,JAHSPW02,271
GCA_023055345.1,dhQueWisl1.0.p,Quercus wislizeni,67830,,,,,QUWIS_CCGP_1,,,724823050,,Scaffold,4/19/22,JALGQJ01,358
GCA_029961685.1,dmAriCali1.0.hap1,Aristolochia californica,171875,,,,,CCGP_79_NKW_82.1479,,,661636370,,Scaffold,5/10/23,JARWKL01,531
GCA_021018815.1,HHU_Tfru_1.0,Talinum fruticosum,110664,,,,,5.1.7.9.5.10 (a selfed laboratory population),,,620371992,,Scaffold,12/1/21,JAITYX01,344
GCA_027886185.1,ASM2788618v1,Rheum nobile,137697,,,,,Feng2049,,,1362557596,,Contig,1/17/23,WOAB01,
GCA_027422505.1,V4,Craterostigma plantagineum,4153,,,,,U Bonn,,,1716723822,,Contig,12/27/22,JAPQWV01,
GCA_029449295.1,ASM2944929v1,Zea luxurians,15945,,,,,PI422162,,,5596586848,,Scaffold,3/28/23,JAOPSE01,3138
GCA_037957365.1,ASM3795736v1,Torreya grandis,58047,,,,,XS_2023a,female,,19050819972,,Contig,4/3/24,JARHVA01,
GCA_025175665.1,Cinchona_pubescens_v1.0,Cinchona pubescens,50278,,,,,CP9014,,,889470648,,Contig,9/13/22,JANKKI01,
GCA_026724425.1,LRSV_Eryivo_v1,Erythrophleum ivorense,53877,,,,,Cameroon1,,,2111835569,,Scaffold,12/7/22,JAIUCV01,3825
GCA_037954665.1,ASM3795466v1,Laguncularia racemosa,190524,,,,,lara_20221125,,,1105301268,,Scaffold,4/3/24,JBBMOL01,6512
GCA_028654335.1,ASM2865433v1,Alnus rubra,109069,,,,,clone 639,,,550765978,,Contig,2/15/23,JAJPGS01,
GCA_037832345.1,SYSU_Rhmang,Rhizophora mangle,40031,,,,,Rhmang_2019_Haikou,,,280956242,,Contig,3/29/24,JBAPLJ01,
GCA_015342445.1,DiExil,Digitaria exilis,1010633,,,Niatia,,,,"Annotation submitted by University of California, Davis",760650579,,Contig,11/10/20,JACEFO01,
GCA_030021035.2,ASM3002103v2,Notholithocarpus densiflorus,165545,,,,,SM.74.45.XL (clone 1),,,777458774,,Scaffold,2/13/24,JARYZH02,11375
GCA_027943335.1,COB_r1.0,Chamaecyparis obtusa,13415,,,GFB00119,,,,,8513066914,,Contig,12/12/22,BSBK01,
GCA_907163345.1,Genome assembly of Haberlea rhodopensis,Haberlea rhodopensis,121481,,,,,,,,1269708720,,Scaffold,3/10/24,CAJQUN01,3499
GCF_029017545.1,ASM2901754v1,Prosopis cineraria,364024,,,Desert tree,,PC_DT_omini,,GCF_029017545.1-RS_2023_03,691392202,,Scaffold,3/6/23,JAQQQA01,2265
GCA_024336825.1,ASM2433682v1,Amorphophallus titanum,175755,,,,,Z9RR4GKIZM,,,942822506,,Scaffold,7/20/22,JANBPO01,9603
GCA_015832515.1,SPBU_Bret_1.0,Boechera retrofracta,115934,,,,,PC18,,,216212429,,Scaffold,12/8/20,JACCIV01,37106
GCA_029633175.1,ASM2963317v1,Citrus glauca,76963,,,,,PI 539717,,,376481474,,Scaffold,4/7/23,JAQOOD01,83
GCA_025388415.1,GRF_CWil_1.0,Cynanchum wilfordii,228709,,,Hems,,CBM0134,,,215976352,,Scaffold,9/23/22,JAHSUH01,5483
GCA_003290165.1,B.thun_GenomeAssembly_v1,Berberis thunbergii,121720,,,Kobold,,,,,2240736797,,Contig,7/6/18,QNQO01,
GCA_024138015.1,Lumnitzera_littorea_10x_Hi-C,Lumnitzera littorea,99437,,,,,luli_leaf_TL201710,,,1443151376,,Scaffold,7/5/22,JAMXBB01,13365
GCA_012064385.1,Puccinellia tenuiflora refer 1.0,Puccinellia tenuiflora,240906,,,,,,,,1107144260,,Scaffold,4/6/20,QRDG01,2543
GCA_004349715.1,ASM434971v1,Crucihimalaya himalaica,59289,,,,Qinghai-Tibet Plateau,BT1,,,234721433,,Scaffold,3/14/19,SMJT01,582
GCA_021015155.1,ASM2101515v1,Magnolia officinalis,85864,,,,,PY-2021,,,1685228614,,Scaffold,11/30/21,JAJHSJ01,2892
GCA_013180625.2,ASM1318062v2,Boswellia sacra,173701,,,,Dowkah,BS-S2,,,667838758,,Scaffold,9/30/22,SNVD02,16352
GCA_009725065.1,Urenif-v1,Utricularia reniformis,192314,,,,,sample 14,,,304538963,,Scaffold,12/2/19,RWGZ01,1825
GCA_900491605.1,Calamus_simplicifolius,Calamus simplicifolius,746888,,,,,Ecotype,,,1960809755,,Scaffold,7/1/18,UESW01,5116
GCA_024364735.1,CEBAR_Bro_1.0,Boesenbergia rotunda,97729,,,,,BR_CEBAR01,,,2347514961,,Scaffold,7/21/22,JAGFNQ01,10627
GCA_001972305.1,Cfol_1.0,Cephalotus follicularis,3775,,,,,St1,,Annotation submitted by National Institute for Basic Biology,1614517073,,Scaffold,1/11/17,BDDD01,16307
GCA_029783825.1,ASM2978382v1,Sapria himalayana,289637,,,,,XG-2023,,,2060974854,,Scaffold,4/17/23,JAREIK01,18718
GCA_011799765.1,ASM1179976v1,Nymphaea thermarum,419125,,,,,RP0033,hermaphrodite,Annotation submitted by Harvard University,368003157,,Scaffold,3/31/20,JAANDH01,6222
GCA_033002965.1,BioCurious_Pbet_1.0,Piper betle,13217,,,,,IM-2023a,,,556518223,,Contig,10/24/23,JAURVB01,
GCA_016808085.1,ASM1680808v1,Suaeda aralocaspica,224144,,FK81-2018,,Xinjiang,,,,451676725,,Scaffold,2/4/21,PYUH01,4058
GCA_019297695.1,ASM1929769v1,Apostasia ramifera,1920719,,,,,MyAr1,,,346615030,,Scaffold,7/21/21,JAEMOT01,17082
GCA_900006705.1,sca,Sonneratia caseolaris,122814,,,,,,,,207934454,,Scaffold,2/19/20,CXYZ01,76167
GCA_003123785.1,ASM312378v1,Pterocarya stenoptera,91225,,,,,DPTA1.01,,,955600900,,Scaffold,5/14/18,QEOT01,124315
GCA_002174775.1,MC_HNAU_1.0,Macleaya cordata,56857,,,,,BLH2017,,Annotation submitted by Chinese Academy of Agricultural Sciences,377833576,,Scaffold,6/7/17,MVGT01,4547
GCA_003122765.1,ASM312276v1,Juglans cathayensis,91213,,,,,DJUG11.03,,,600151230,,Scaffold,5/14/18,QEOU01,19972
GCF_000390325.2,Ntom_v01,Nicotiana tomentosiformis,4098,,,,,,,NCBI Nicotiana tomentosiformis Annotation Release 102,1688310576,,Scaffold,5/16/13,ASAG01,159547
GCA_026074375.1,Tcoc_v1.0,Tanacetum coccineum,301880,,,,,,,"Annotation submitted by Research & development laboratory, DAINIHON JOCHUGIKU Co.,Ltd.",9463677832,,Scaffold,11/2/22,BQNB01,2836647
GCA_026770625.1,ASM2677062v1,Nicotiana glauca,4090,,,,,RH,,,3512699955,,Scaffold,12/9/22,MDKF01,731465
GCA_035668315.1,ASM3566831v1,Drosera spatulata,16681,,,,,IRGN DVMQU6P362,,,377564430,,Scaffold,1/16/24,JAOVYX01,22975
GCA_025769935.1,ASM2576993v1,Phoenix roebelenii,446125,,,,,IRGN:ZCN6RN5V4B,,,471678481,,Scaffold,10/20/22,JAOXJJ01,57227
GCA_910574055.2,Azfil_double-filtered_wild-strain,Azolla filiculoides,84609,,,,,,,,4794733,,Scaffold,8/23/21,CAJTBH02,353
GCA_024708375.1,oxalis_stricta_v0.1,Oxalis stricta,213833,,,,,LIC1,,,28478318,,Contig,8/18/22,JANIEQ01,
GCA_009831015.1,Se404-851_v1,Picea engelmannii,3334,,,,,Se404-851,,,24943568506,,Scaffold,1/3/20,WSFP01,946236
GCA_001633215.2,ASM163321v2,Dichanthelium oligosanthes,888268,,,Kellogg 1175,,,,Annotation submitted by University of Nebraska,589166415,,Scaffold,9/29/16,LWDX02,17436
GCA_032619315.1,KAU_P.longum,Piper longum,49511,,,Viswam,Thrissur,KAU_PL,,,447704914,,Scaffold,10/13/23,JAVDBV01,89204
GCA_025585075.1,ASM2558507v1,Nepenthes mirabilis,150983,,,,China,ZLC-ZS20220624,,,691409685,,Scaffold,10/5/22,JAODPA01,159555
GCA_025762735.1,ASM2576273v1,Platanus orientalis,122832,,,,,IRGN N58468X2HT,,,1494758142,,Scaffold,10/19/22,JAOXJP01,297727
GCA_018326385.1,Fbid_1.0,Flaveria bidentis,4224,,,,,,,,1020231419,,Scaffold,4/13/21,BJCM01,276228
GCA_020521535.1,Sleprosula_assembly_01,Rubroshorea leprosula,152421,,,,,214,,Annotation submitted by Forest Research Institute Malaysia (FRIM) & University of Zurich,347348880,,Scaffold,10/14/21,BPVZ01,2913
GCA_032274825.1,ASM3227482v1,Drosophyllum lusitanicum,4373,,,,,IRGN E9HZ954PVZ,,,527179592,,Scaffold,10/2/23,JAUEJL01,146893
GCA_001662545.1,ASM166254v1,Rosa x damascena,3765,,,,,,,,711719955,,Scaffold,6/13/16,LYNE01,307872
